price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 6.84 Lakh,Hatchback,"94,695 Kms",1st Owner,2016.0,27.39 kmpl,KA05,Diesel,Dec 2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 8.03 Lakh,Hatchback,"22,162 Kms",1st Owner,2019.0,21.4 kmpl,KA05,Petrol,Oct 2019,2019,Zero Dep,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.20 Lakh,Hatchback,"70,000 Kms",2nd Owner,2010.0,17.92 kmpl,KA03,Petrol,2010,2010,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1086 cc
₹ 8.04 Lakh,Sedan,"1,15,331 Kms",1st Owner,2017.0,26 kmpl,KA01,Diesel,Jul 2018,2017,Comprehensive,6 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 14 Lakh,Sedan,"70,000 Kms",2nd Owner,2013.0,10 kmpl,,Diesel,2013,2013,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,2148 cc
₹ 5.48 Lakh,Hatchback,"42,233 Kms",2nd Owner,2016.0,22.38 kmpl,KA05,Petrol,Apr 2016,2016,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.19 Lakh,Hatchback,"20,941 Kms",1st Owner,2019.0,18.9 kmpl,KA05,Petrol,Jun 2019,2019,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 10 Lakh,SUV,"50,000 Kms",2nd Owner,2018.0,24.3 kmpl,KA04,Diesel,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 8.65 Lakh,SUV,"46,602 Kms",1st Owner,2018.0,17.5 kmpl,KA03,Petrol,Jan 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 10 Lakh,SUV,"50,000 Kms",2nd Owner,2014.0,11.18 kmpl,KL07,Diesel,2014,2014,Third Party insurance,5 Speed,Automatic,7 Seats,bangalore,2696 cc
₹ 5.35 Lakh,Hatchback,"1,04,000 Kms",2nd Owner,2014.0,25.2 kmpl,KA51,Diesel,Jul 2014,2014,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1248 cc
