price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 4.32 Lakh,Hatchback,"57,521 Kms",1st Owner,2015,25.24,KA42,Petrol,May 2015,2015,Comprehensive,5-Speed,Manual,5 Seats,bangalore,998 cc
₹ 7 Lakh,SUV,"1,00,000 Kms",1st Owner,2016,19.87,KA04,Diesel,2016,2016,Third Party insurance,5 speed,Manual,5 Seats,bangalore,1461 cc
₹ 14.99 Lakh,Sedan,"7,598 Kms",1st Owner,2021,17.7,KA05,Petrol,Mar 2021,2021,Comprehensive,6 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 7.62 Lakh,SUV,"38,520 Kms",1st Owner,2017,13.06,KA41,Petrol,Sept 2017,2017,Comprehensive,5 speed,Manual,5 Seats,bangalore,1598 cc
₹ 16.25 Lakh,SUV,"20,000 Kms",1st Owner,2022,15.43,KA02,Petrol,2022,2022,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 6.32 Lakh,SUV,"1,10,455 Kms",2nd Owner,2014,20.45,KA01,Diesel,Jun 2014,2014,Comprehensive,5 speed,Manual,5 Seats,bangalore,1461 cc
₹ 12.18 Lakh,SUV,"26,901 Kms",1st Owner,2020,18.15,KA03,Petrol,Oct 2020,2020,Comprehensive,7-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 5.24 Lakh,Hatchback,"65,376 Kms",1st Owner,2017,18.9,KA04,Petrol,Jul 2017,2017,Zero Dep,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 14.05 Lakh,SUV,"28,177 Kms",3rd Owner,2018,15.1,KA03,Diesel,Aug 2018,2018,Comprehensive,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 13.90 Lakh,SUV,"10,000 Kms",1st Owner,2022,18.2,KA03,Petrol,2022,2022,Third Party insurance,6-Speed iMT,Manual,5 Seats,bangalore,998 cc
