price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
1070000,Sedan,30000,1,2019,17.4,KA03,Petrol,2019,2019,Third Party insurance,5,Manual,5,bangalore,1497
1025000,SUV,49690,2,2018,15.9,KA20,Petrol,2018,2018,Third Party insurance,5,Manual,5,bangalore,1496
1000000,SUV,110000,1,2016,16.0,KA12,Diesel,2016,2016,Third Party insurance,6,Manual,7,bangalore,2179
375000,Sedan,50000,1,2009,16.0,KA03,Petrol,2009,2009,Third Party insurance,5,Manual,5,bangalore,1368
375000,Sedan,50000,1,2009,16.0,KA03,Petrol,2009,2009,Third Party insurance,5,Manual,5,bangalore,1368
844000,SUV,55702,1,2018,14.8,KA03,Petrol,2018,2018,Comprehensive,6,Automatic,5,bangalore,1497
764000,Hatchback,45046,1,2016,21.19,KA04,Diesel,2016,2016,Third Party insurance,6,Manual,5,bangalore,1396
420000,Hatchback,53000,2,2014,18.5,KA03,Petrol,2014,2014,Third Party insurance,5,Manual,5,bangalore,1197
684000,Hatchback,94695,1,2016,27.39,KA05,Diesel,2016,2016,Third Party insurance,5,Manual,5,bangalore,1248
803000,Hatchback,22162,1,2019,21.4,KA05,Petrol,2019,2019,Zero Dep,5,Manual,5,bangalore,1197
320000,Hatchback,70000,2,2010,17.92,KA03,Petrol,2010,2010,Third Party insurance,5,Manual,5,bangalore,1086
804000,Sedan,115331,1,2017,26.0,KA01,Diesel,2018,2017,Comprehensive,6,Manual,5,bangalore,1498
1400000,Sedan,70000,2,2013,10.0,KA03,Diesel,2013,2013,Third Party insurance,5,Automatic,5,bangalore,2148
548000,Hatchback,42233,2,2016,22.38,KA05,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1197
619000,Hatchback,20941,1,2019,18.9,KA05,Petrol,2019,2019,Comprehensive,5,Manual,5,bangalore,1197
1000000,SUV,50000,2,2018,24.3,KA04,Diesel,2018,2018,Third Party insurance,5,Manual,5,bangalore,1248
865000,SUV,46602,1,2018,17.5,KA03,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1199
1000000,SUV,50000,2,2014,11.18,KL07,Diesel,2014,2014,Third Party insurance,5,Automatic,7,bangalore,2696
535000,Hatchback,104000,2,2014,25.2,KA51,Diesel,2014,2014,Comprehensive,5,Manual,5,bangalore,1248
975000,SUV,90000,1,2018,23.0,KA51,Diesel,2018,2018,Comprehensive,5,Manual,5,bangalore,1498
699000,Hatchback,50035,1,2017,21.4,KA03,Petrol,2017,2017,Third Party insurance,5,Manual,5,bangalore,1197
1150000,SUV,80000,1,2021,17.57,KA03,Petrol,2021,2021,Third Party insurance,6,Manual,5,bangalore,1199
625000,Hatchback,90000,2,2015,18.6,KA03,Petrol,2015,2015,Comprehensive,5,Manual,5,bangalore,1197
1000000,Sedan,90000,4,2011,14.21,KA04,Diesel,2011,2011,Third Party insurance,5,Automatic,5,bangalore,2143
600000,Sedan,120000,1,2011,21.43,KA03,Diesel,2011,2011,Third Party insurance,6,Manual,5,bangalore,1364
675000,Sedan,25170,1,2015,22.41,KA41,Petrol,2015,2015,Third Party,5,Manual,5,bangalore,1197
893000,Sedan,25022,1,2021,20.65,KA01,Petrol,2021,2021,Comprehensive,5,Manual,5,bangalore,1462
420000,Hatchback,100000,2,2012,22.9,KA04,Diesel,2012,2012,Third Party insurance,5,Manual,5,bangalore,1248
941000,Sedan,26367,1,2020,20.65,KA51,Petrol,2020,2020,Zero Dep,5,Manual,5,bangalore,1462
630000,Sedan,76567,2,2015,14.5,KA51,Petrol,2015,2015,Zero Dep,6,Automatic,5,bangalore,1797
1275000,MUV,120000,2,2013,12.99,KA03,Diesel,2013,2013,Third Party insurance,5,Manual,7,bangalore,2494
525000,Hatchback,36459,2,2015,18.9,KA03,Petrol,2015,2015,Comprehensive,4,Automatic,5,bangalore,1197
750000,SUV,93725,1,2016,23.65,KA04,Diesel,2016,2016,Comprehensive,5,Manual,5,bangalore,1248
632000,Sedan,115599,2,2016,19.12,KA03,Petrol,2016,2016,Comprehensive,4,Automatic,5,bangalore,1373
645000,Sedan,43469,1,2015,22.41,KA52,Petrol,2016,2015,Zero Dep,5,Manual,5,bangalore,1197
